X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
594843.7898,4789475.7186,1,Cushion,Melrose Ave - between Cannon St and Beechwood Ave
597765.7716,4785765.0187,2,Permanent,5 Harrisford St - between Albright Rd and Greenhill Ave
591729.4637,4790614.475,3,Cushion,159 Park St - between Mulberry St and Sheaffe St
592298.7114,4790416.4568,4,Cushion,189 Catharine St - between Cannon St and Robert St
588934.872,4790690.2389,5,Cushion,196 Cline Ave - between King St and Marion Ave
586325.7418,4789691.1698,6,Cushion,83 Ofield Rd - between Main St and Ramsey Cres
586538.659,4789706.9424,7,Cushion,44 Ofield Rd - between Ramsey Cres and Ewen Rd
590389.1039,4789241.6416,8,Cushion,84 Homewood Ave - between Locke St and Kent St
597969.127,4781595.8504,9,Permanent,Second Rd West - between Gatestone and Hillcroft
593715.1391,4783911.2758,10,Cushion,Queen Victoria Dr - between Ridley and Quinn
593766.7859,4783902.4705,11,Cushion,Queen Victoria Dr - between Ridley and Quinn
592288.6014,4789011.0726,12,Cushion,Forest Ave at Aurora St
592163.0687,4788997.854,13,Cushion,Ferguson Ave S - between Charlton and Forest
592195.5808,4789103.3489,14,Cushion,Ferguson Ave S - between Forest and Young
591716.4818,4790809.437,15,Cushion,87/88 Colbourne St - between Bay and Park
592303.5877,4790109.8651,16,Cushion,103 Mary St - between Winson and Kelly
590971.1675,4791011.7557,17,Cushion,72 Magill Street
590218.5111,4783157.7776,18,Cushion,128 Springside Drive
590333.5229,4783578.8182,19,Cushion,37 Springside Drive
592178.1109,4784128.3889,20,Cushion,380 Acadia Drive - Ridgemount to Butler
592326.6021,4784078.3941,21,Cushion,316 Acadia Drive - Butler to Annapolis
592751.865,4783549.4562,22,Cushion,115 Eleanor Drive - Dulgaren to Brenda
592667.5411,4783264.8184,23,Cushion,191 Eleanor Drive - Brenda to Eaglewood
592445.4545,4789059.3056,24,Cushion,Young St - 50 metres west of West Ave S - West to Victoria
592495.2562,4784011.4213,25,Cushion,35 Annapolis Way - Acadia to Beaverton
592508.509,4783983.8839,26,Cushion,59 Annapolis Way - Acadia to Beaverton
590123.9681,4782861.9706,27,Cushion,202 Springside Drive
609734.3152,4785270.923,28,Permanent,324 Winona Road
609775.6682,4785422.6363,29,Permanent,341 Winona Road
610015.6952,4786291.7242,30,Permanent,Winona Road - 50m north of Baseline Road
594098.2162,4785456.8613,31,Cushion,Palmer Road - 25m north of Muir Avenue
596127.5121,4787374.9939,32,Cushion,278 Wexford Avenue South
590061.8754,4782665.0062,33,Cushion,235 Springside Drive
588163.6775,4797798.9765,34,Cushion,10 Longyear Drive
591722.3014,4788091.4871,35,Cushion,Queensdale Avenue East - 20m west of Bruce Park Drive
591588.8848,4788132.3695,36,Cushion,112 Queensdale Avenue East
591491.9331,4788163.943,37,Cushion,72 Queensdale Avenue East
590940.3742,4790909.2347,38,Cushion,35 Magill Street
592330.1244,4783813.1602,39,Cushion,189 Acadia Drive
591859.8223,4783947.8973,40,Cushion,579 Acadia Drive
591054.4715,4783983.3078,41,Cushion,333 Brigade Drive
591150.2438,4783823.9884,42,Cushion,263 Brigade Drive
591391.0357,4784063.7357,43,Cushion,117 Brigade Drive
591357.2623,4784207.1612,44,Cushion,69 Brigade Drive
591350.6123,4784357.2876,45,Cushion,27 Brigade Drive
591513.59,4784319.1946,46,Cushion,182 Delancey Boulevard
591598.8806,4784020.4732,47,Cushion,323 Delancey Boulevard
591534.8624,4783991.0483,48,Cushion,363 Delancey Boulevard
594730.3543,4785175.7771,49,Cushion,6 Anson Avenue
594800.8239,4785154.0694,50,Cushion,18 Anson Avenue
594948.5419,4785109.086,51,Cushion,45 Anson Avenue
595031.8675,4785082.3488,52,Cushion,57 Anson Avenue
595098.6545,4785061.8228,53,Cushion,65 Anson Avenue
595189.8915,4785033.0266,54,Cushion,75 Anson Avenue
595207.6998,4785622.3118,55,Cushion,139 Kingslea Drive
595239.5802,4785725.9686,56,Cushion,121 Kingslea Drive
595306.8972,4785947.8992,57,Cushion,83 Kingslea Drive
595283.6293,4785872.1273,58,Cushion,101 Kingslea Drive
594450.0148,4785913.8815,59,Cushion,279 East 45th Street
594407.714,4785771.2391,60,Cushion,311 East 45th Street
593343.4887,4783153.3905,61,Cushion,816 Templemead Drive
593498.8375,4783392.1911,62,Cushion,63 Templemead Drive
594872.8616,4789577.0273,63,Cushion,Melrose Ave - between Cannon St and Beechwood Ave
590655.9856,4789456.516,64,Cushion,Charlton Ave W - between Queen St to Kent St
590500.65,4789501.951,65,Permanent,Charlton Ave W - between Kent St to Locke St
594131.3932,4789111.5964,66,Permanent,St. Clair Ave - between Main St E to Dunsmere Rd
589541.7977,4787140.0096,67,Temporary,West 16th St - between Mohawk Rd and Sanatorium Rd
594182.1038,4789254.7632,68,Permanent,St. Clair Ave - between Dunsmere Rd to King St
590053.3423,4785168.2515,69,Permanent,Citino Dr - between Forbes St. to West 5th St.
589588.7517,4783563.8299,70,Permanent,Alderson Dr - between Christie St and Upper James St
589526.4342,4783453.9316,71,Permanent,Christopher Dr - between Malton Dr and Upper James St
589279.9251,4783534.0642,72,Permanent,Christopher Dr - between Malton Dr and Upper James St
590137.7473,4785223.4167,73,Permanent,Forbes St - between Blossom Ln and Citino Dr
599372.7544,4781377.4728,74,Permanent,Highgate Dr - between Bankfield Cres to Pinewoods Dr
589662.0693,4785820.8946,75,Cushion,Brigadoon Dr in front of #250/253
589476.6491,4785796.4348,76,Cushion,Brigadoon Dr - 20 metres east of Fiona Cres (east leg)
